evm.model.scaffold1.3303	XP_040509524.2	71.041	221	60	1	1	221	295	511	5.87e-102	321
evm.model.scaffold1.724	XP_031446075.1	91.119	563	50	0	31	593	1	563	0.0	1000
evm.model.scaffold1.1752	MCQ4179290.1	85.821	402	31	1	5	380	377	778	0.0	686
evm.model.scaffold1.3519	XP_048803495.1	85.507	69	10	0	40	108	18	86	1.71e-31	123
evm.model.scaffold1.2297	WP_266146357.1	81.879	149	26	1	31	178	45	193	3.38e-80	246
evm.model.scaffold1.3040	WP_266162364.1	72.174	115	32	0	1	115	29	143	4.09e-53	174
evm.model.scaffold1.3766	MCQ4078419.1	69.118	204	35	9	1	180	107	306	3.39e-73	239
evm.model.scaffold1.658	XP_031445876.1	99.375	320	2	0	1	320	1	320	0.0	651
evm.model.scaffold1.3000	XP_049684676.1	96.454	141	5	0	36	176	119	259	1.23e-94	285
evm.model.scaffold1.568	KFO71095.1	98.971	486	5	0	1	486	1	486	0.0	1008
evm.model.scaffold1.3234	KAF4798080.1	100.000	77	0	0	16	92	19	95	7.03e-48	157
evm.model.scaffold1.969	XP_048803251.1	58.659	179	67	4	4	177	191	367	4.43e-52	187
evm.model.scaffold1.2469	XP_040520853.2	98.306	1889	28	4	1	1887	1	1887	0.0	3788
evm.model.scaffold1.3343	KFM04405.1	55.882	136	36	2	1	135	6	118	8.73e-41	146
evm.model.scaffold1.720	XP_031446069.1	94.819	386	20	0	14	399	20	405	0.0	777
evm.model.scaffold1.26	MCQ4078419.1	92.720	261	19	0	63	323	257	517	1.97e-169	491
evm.model.scaffold1.3007	XP_042664516.1	99.712	347	1	0	1	347	1	347	0.0	713
evm.model.scaffold1.1755	PKU27108.1	80.800	125	24	0	83	207	7	131	1.05e-62	201
evm.model.scaffold1.521	XP_003207147.2	97.701	261	6	0	11	271	70	330	0.0	532
evm.model.scaffold1.3084	XP_048788127.1	76.289	194	13	1	2	162	199	392	1.06e-92	292
evm.model.scaffold1.263	CAB5217158.1	58.197	122	48	3	25	145	125	244	1.83e-14	83.2
evm.model.scaffold1.2656	XP_032304298.1	78.462	195	42	0	178	372	26	220	8.15e-107	323
evm.model.scaffold1.3316	PKU48831.1	56.322	87	35	1	15	98	22	108	6.48e-21	100
evm.model.scaffold1.201	XP_031463651.1	99.482	579	3	0	35	613	30	608	0.0	1207
evm.model.scaffold1.2159	XP_040519256.1	96.262	107	4	0	1	107	1	107	2.96e-67	215
evm.model.scaffold1.3491	XP_040520727.1	95.603	1319	56	2	1	1317	18	1336	0.0	2542
evm.model.scaffold1.3598	WP_266146357.1	89.394	132	14	0	1	132	16	147	8.21e-79	243
